sItem;sDesc;SECTION
CAN-001;JUANITAS - MEXICAN STYLE HOMINY - 6 X 2.84 L;SEC
SUAVEROLL;JUMBO TOILET PAPER ROLL (8 UNITS);SEC
SESAMEOIL;KADOYA - SESAME OIL / 1.65L;SEC UNIT
KALAS;KALAS - SEA SALT (3X750G);SEC UNIT
CORNFLAKES;KELLOGGS -CORN FLAKES CEREAL / 1.22KG;SEC UNIT
KETCHUPSACH;KETCHUP PACKETS (X1000);SEC
KEWPIEMAYO;KEWPIE JAPANESE MAYONNAISE (20X450G);SEC
MIRIN189;KIKKOMAN - MIRIN KOTTERIN / 18.9L;SEC
SAUCESOYKIK;KIKKOMAN - SOYA SAUCE / 18.9L;SEC
HONEYKIRK3;KIRKLAND - HONEY (3KG);SEC UNIT
CHICKCUBKNOR;KNORR - CHICKEN BROTH 1KG;SEC UNIT
MUSTDIJON;KNORR - DIJON MUSTARD (5.3L);SEC UNIT
KODIAKBLUE;KODIAK - FOOD SERVICE BLUE CLOTHS (200UN);SEC
BBQKRAFT3.78;KRAFT - BBQ SAUCE (2 X 3.78L);SEC UNIT
KRAFTCHOU;KRAFT - COLESLAW SAUCE - (2 X 3.78L);SEC
PARMKRAFT;KRAFT - PARMESAN / 710G;SEC
PEANUTBUTKRFTPCS;KRAFT - PEANUT BUTTER (2KG);SEC UNIT
SAUCETARTARPOR;KRAFT - TARTAR SAUCE PORTIONS (200X18ML);SEC
BWL-001;KRAFT BOWL BASE 12 OZ - 355 ML - 200 UN;SEC
BOWLKRAFT16;KRAFT BOWL BASE 16OZ / 480ML / 500UN;SEC
BOWLKRAFT24;KRAFT BOWL BASE 26OZ / 750ML (300UN);SEC
BOWLKRAFT38;KRAFT BOWL BASE 36-38OZ / 1100ML (300UN);SEC
BOWLKRAFT8;KRAFT BOWL BASE 8OZ / 240ML (300UN);SEC
32KRAFTB;KRAFT REGULAR 34 OZ  (946 ML) BOWL (300 UNITS);SEC
TAHINI907;KRINOS - TAHINI (750ML);SEC UNIT
BLEACHPARIS;LA PARISIENNE - BLEACH / EAU DE JAVEL (3X3.6L);SEC
SVKOLIV;LARGE KALAMATA OLIVES;SEC
GLOVBLKNITL;LARGE NITRIL BLACK GLOVES / 10 X 100 UNITS;SEC
TARTROUND80MM;LARGE TART ROUND 80MM (108 UNIT);SEC
GLOVVINL;LARGE VINYL CLEAR GLOVES / 10 X 100 UNITS;SEC
LEA&PERRINS;LEA PERRINS - WORCESTERSHIRE SAUCE (2 X 3.7 L);SEC UNIT
GREENLEN;LENTILLES VERTES EN CONSERVE (6 X 2.84L);SEC
