Damen Service Alimentaire (Division Ferro Poisson),,
Price Lists,,
,,
Item No.,Description,Regular CAD
CRE-114,RAW SHRIMP BLACK TIGER 6/8 PDTON (6X4LBS),0.0000 
CRE-115F,WILD BLACK TIGER SHRIMP 2/4 GIN,0.0000 
CRE-116,BT SHRIMP P&D 6/8 - 1 X 10 LB - AQUASEA,229.8000 
CRE-118,SHRIMP BT P&D 6/8 - 5X2 LBS- SEA RAY,199.3500 
CRE-118-EZ,SHRIMP BT 6/8 EZEPEEL - 5X2 LBS,177.8500 
CRE-121,PINK ARGENTINA SHRIMP - FROZEN - P&D - (16/20) - (10X2LB/CS) - IQF - A,234.8000 
CRE-128,NOBASHI EBI SHRIMP 21/25 (30 X 20 TRAYS / 600 UNITS),193.8000 
CRE-131,SHRIMP BT 16/20 PND TAIL ON 5X2LBS AQUASEA VT,114.9000 
CRE-132,SHRIMP BT 21/25 P&D 5X2 LBS TAIL ON AQUARIUS,99.7000 
CRE-133,Crevette BT 21/25 HLSO 4x6,238.3000 
CRE-134,SHRIMP WHITE 21/25 HLSO (10 X 2KG) 90% NW - EQ,278.7500 
CRE-135,PINK ARGENTINA SHRIMP 16/20 - P&D - 1X10LBS- IQF - ARGENTINA,0.0000 
CRE-165,SHRIMP BT 8/12 - P&D TAIL-ON - 5 X 2 LB - AQUASTAR,139.8500 
CRE-168,CREVETTE BT ENTIER 6/8 - 10X1 LBS - THAI,178.8000 
CRE-169,SHRIMPS BT FROZEN 8/12- 5X2LBS,157.8500 
CRE-169-EZ,SHRIMPS 8/12 BT EZE PEEL - 5X2LBS,0.0000 
CRE-172,Crevette Popcorn-60/80-4X3Lbs,125.8500 
CRE-174,SHRIMP WHITE BUTTERFLY 16/20 - 5 X 2LBS - MIRABEL,108.9000 
CRE-176,SHRIMPS POPCORN JALAPENO 51/60-(2X2.50LBS),0.0000 
CRE-177,SHRIMP WHITE 51-60 TAILL OFF 10X4 LBS USA,4.6500 
CRE-179,SHRIMPS  90/130 P&D TAIL OFF-(5X2LBS),0.0000 
CRE-180,MATAN SHRIMP - NORDIC 150/250-(2X5LBS)-CAN,130.3500 
CRE-182,CARABINEROS SHRIMP -  9/10 - 1X18.95KG - BRAZIL,0.0000 
CRE-183,BREADED SHRIMP 16/20 (20 X 25GR),79.3000 
CRE-185,COOKED SHRIMP 71/90 - P&D TAIL-OFF - (1 X 10LBS) - MEDNA - INDIA,63.9000 
CRE-186,SHRIMP CARABINEROS 6/8 - CW - (8X1.9KG) - BRAZIL,"1,848.3500 "
CRE-187,SHRIMP EBI 4L (30 X 30 TRAYS / 900 UNITS),215.8500 
CRE-188,TEMPURA SHRIMP 31/40 (1 X 125 UNITS),72.9500 
CRE-191,WHITE BUTTERFLY SHRIMP - 16/20 - 5 X 2 LB - SEA-RAY,104.9000 
CRE-192,SHRIMP Ebi 5L (30 X 30 TRAYS / 900 UNITS),244.8000 
CRE-193,BUTTERFLY SHRIMP 13/15 - 20 X 1LBS - ARGENTINA,220.8000 
CRE-195,SHRIMP EBI 3L (30 X 30 TRAYS / 900 UNITS),181.8500 
CRE-198,SHRIMP FRIED 10X1KG  VT,172.4000 
CRE-200,DAMEN - BREADED SHRIMP 16/20 (400X25GR),74.9500 
CRE-202,(do not use) 71-90,63.9000 
CRE-210,SHRIMPS IN BLOCK 21/25 HLSO - SAFA GOLD (6X4LBS),150.9000 
CRE-228,WHITE SHRIMP 13/15 P&D T-ON - (5 X 2 LB) - SEA RAY,109.9000 
CRE-229,16/20 ARGENTINA SHRIMP  EZE PEEL 10X2LBS / OCEANIC FISHERIES CODE 229,219.6000 
CRE-230,CREVETTES ARGENTINE 13/15 P&D 10x2LBS - IQF,326.7000 
CRE-232,CREVETTES ARGENTINE 13/15 EZE PEEL (10x2LBS),288.7000 
CRE-234,CREVETTE ARGENTINE PND MORCEAU 10X2LBS IQF OCEANIC,191.1000 
CREAMCHEESE,PHILADELPHIA - CREAM CHEESE (1.5KG),22.5000 
CREAMCOOK1L,COOKING CREAM 35% (1L),8.5500 
CREAMSOUR4L,SOUR CREAM 14% / 4 L,22.3000 
CREAMWHIP35,WHIPPING CREAM 35% / 1L,8.5500 
CRED,CREDIT,0.0000 
CREDIT,CREDIT APPLIQUÉ SUR LA FACTURE ACTUELLE. MERCI,0.0000 
CREMEBRULEE,CREME BRULEE (4 X 2L),78.9000 
CREMEGODET200,CREAMER 10% (100 X 15ML),8.5500 
CRESSBABY,BABY CRESSON CELLO ICELESS (6 BAGS PER BOX),29.9000 
CRESSMINI,(60G) PACK MINI CRESSON ALENOIS,10.5000 
CRINKLE,CAVENDISH (4152) CRINKLE 3/8 CUT,44.7000 
CROUT5,GARLIC CROUTONS (5KG),36.9000 
CROWNDAISY,FRESH CROWNDAISY,39.6500 
CRUSHOR24,CRUSH ORANGE SODA / 24X355ML (ECOFEE 0.48 INCLUDED),16.5000 
CSB-003,CHILEAN BASS ENTIER - FROZEN - 10-15 KG,0.0000 
CSB-004,WHOLE CHILIAN BAS - CW- 3-4KG,27.3500 
CSB-010,CHILIAN BASS PORTION 4 OZ - 1 X 10 LBS - CHILI,375.7000 
CUBEFRIT,SPECTRA - SUPER FRY SHORTENING / 20 KG,71.5000 
CUCLEBPCS,PACK LEBANESE CUCUMBERS,2.1500 
CUCPCS,PCS ENGLISH CUCUMBERS,2.3500 
CUCS,ENGLISH CUCUMBERS #2 (12UN),10.5000 
CUCS#1,ENGLISH **LARGE** CUCUMBER #1 ( 12 PCS ),18.5000 
CUCSLEB,LEBANESE CUCUMBERS 12X1,19.5000 
CUCSMED,ENGLISH *MEDIUM* CUCUMBER #1 ( 12 PCS ),15.4500 
CUMINGRND,GROUND CUMIN (2KG),22.3000 
CUMINWHOLE,WHOLE CUMIN (1.8KG),20.9500 
CUP8OZ,CAFE CIOCIAROS / 8OZ CUPS (1000/CS),54.2000 
CUPBAS1,PORTION CUP 1OZ (2500UN),21.5500 
CUPBAS15,PORTION CUPS CLEAR BASE 1.5OZ (2500 UNITS),30.9500 
CUPBAS25,PORTION CUPS CLEAR BASE 2.5OZ (2500 UNITS),39.9500 
CUPBAS4,PORTION CUPS CLEAR BASE 4OZ (2500 UNITS),41.7000 
CUPP16,PAPER DRINK CUPS 16OZ BROWN (5X100),53.7000 
CUPP2,PORTION CUPS 2OZ (2500 UNITS),30.7500 
CUPP22,WHITE PAPER CUPS 22OZ ,147.1500 
CUPS12OZ,CAFE CIOCIAROS 12OZ CUPS (1000/CS),78.7000 
CUPS4OZ,CAFE CIOCIAROS / 4OZ CUPS (1000/CS),45.7500 
CUTLET,SHREDDED ICEBERG 1/8,39.5000 
CUTLET11/4,CHOPPED ICEBERG 1 1/4,62.9500 
CUTLET14,SHREDDED ICEBERG 1/4,39.3000 
CUTTLEFISHBOX,CUTTLEFISH TOKUSEN MONGO 8X1KG,328.3000 
CUTTLEFISHUNIT,CUTTLEFISH TOKUSEN MONGO 1KG,41.2500 
DAIKMINI,(100G) PACK MINI DAIKON,12.8500 
DAIKROOT,BOX DAIKON ROOT,37.5000 
DAIKROOTHALF,HALF BOX DAIKON ROOT,18.9500 
DAIKROOTPCS,PCS DAIKON ROOT,2.5500 
DAND,DANDELION,36.7000 
DARKSOYGOLD,DARK SOYA MUSHROOM P.R GOLD (2 X 8L),61.9500 
DARKSOYRED,DARK SOYA P.R (RED LABEL) / 2 X 8L,58.9500 
DATBIO,PITTED DATES / 1KG,8.0000 
DATMEDJ5KG,MEDJOOL DATES 5KG,67.9000 
DAWN378,DAWN (POMP) DISHWASHER DETERGENT (3.78L),22.3000 
DELETEBILL,FACTURE A EFFACER / DELETE THIS BILL,0.0000 
DELIVERY1,MINIMUM FUEL SURCHARGE,8.0000 
DELIVERY2,SERVICE FEE,3.0000 
DESS8B,CLEAR DESSERT CUPS 8 OZ (1000UN),204.9000 
DESS8L,CLEAR LIDS FOR 8 OZ DESSERT CUPS (1000UN),129.6500 
DGPEPPER,FRESH DICED GREEN PEPPER (5KG),37.5000 
DICEDPEAR,DICED PEAR IN SYRUP (6 X 2.84L),94.9000 
DILL,BOX DILL / ANETH X24,36.0000 
DILLPCS,( PCS ) FRESH DILL,1.7500 
DILLWEED,DILL WEED (650G),18.5500 
DINERNAP2,DINNER NAPKIN 2 PLY (3000 UNITS),54.9500 
DISC,DISCOUNT,0.0000 
DKP1L,PUTTERS -  KOSHER DILL PICKLES IN JARS (12X1L),49.5000 
DKP20L,PUTTERS - BLUE PAIL PICKLES KOSHER STYLE (20L),58.4500 
DOLMADES,ONASSIS STUFFED VINE LEAVES,0.0000 
DOR-001F,GILT HEADED BREAM - FRESH - (400-600/PC),0.0000 
DOR-002F,MEDIT. PORGIE - FRESH - 600/800 - GREECE,0.0000 
DOR-003F,FRESH SEA BREAM - 600-800 - LBS - TURKEY,9.6500 
DOR-004F,DORADE ROYALE 800-1000 1x10KG,275.7000 
DOR-006,EUROPEAN PICKEREL - FROZEN - FILET - 8/10OZ (1X5KG) - IQF,0.0000 
DOR-008,DORE - EUROPEAN PICKEREL FROZEN FILLET 6/8OZ (1 X 5KG),12.1500 
DOR-010,EUROPEAN PICKEREL FROZEN FILET SKIN OFF (1X50LBS),0.0000 
DOR-023F,WHOLE PICKEREL - 2-3 LBS- CW- CAN,8.1500 
DOUBLER04,CAVENDISH - 01004 DOUBLE R STRAIGHT CUT 7/16 FRIES / 6X5LBS,31.5000 
DOUBLER716,FRIES 7/16 DOUBLE-R,40.0500 
DP1L,PUTTERS - DILL PICKLES IN JARS (12X1L),49.9500 
DP2L,PUTTERS - DILL PICKLES IN JARS (6X2L),52.9500 
DPL20L,PUTTERS - LONG CUT PICKLES PAIL (20L),63.7000 
DPR20L,PUTTERS - REGULAR DILL PICKLES PAIL  (20L),57.4500 
DPS20L,PUTTERS - YELLOW PAIL #2 DILL PICKLES (20L),58.4500 
DRAGON,DRAGON FRUIT,46.9500 
DRG-001,DRAGON FRUIT POWDER (150G),25.4500 
DRIEDGR,DRIED YELLOW GRAPES (12X400G),36.7000 
DRIEDMUST,MUSTARD POWDER 2.4KG,73.9000 
DRIEDRAIS,DRIED RAISIN SUNMAID,15.0000 
DRINKOAT,SILK - OAT MILK 1.75L,6.9500 
DRISCBL,DRISCOLLS / BLUEBERRY BOX,31.9500 
DRISCBLAC,DRISCOLLS / BLACKBERRY / MURES BOX,39.9500 
DRISCRASP,DRISCOLLS / RASPBERRY / FRAMBOISE BOX,34.9500 
DRISCSTRAW,DRISCOLLS / STRAWBERRY 8X1,54.9500 
DRYCRAN,DRIED CRANBERRIES / CANNEBERGE SECHE 1.8KG,22.5500 
DRYFUNG,DRIED WHITE  FUNGUS 200G,7.5500 
DRYGRPG,YUPIK - DRIED GOLDEN RAISINS / 2KG,16.9500 
DRYGRPR,DRIED RED GRAPES (2KG),14.5500 
DRYMINT,DRY MINT 600G,22.4000 
DRYROSEMARY,ROSEMARY / 1.1KG,18.5500 
DRYSHAL,DRY**** SHALLOTS / ECHALOTTE****FRANCAIS****10LBS,19.9500 
DRYTOMYUP,YUPIK - DRIED TOMATOES  (2.27KG),23.6500 
DUCK,FROZEN WHOLE DUCK,29.9500 
DULCE,DULCE DE LECHE SPREAD (9KG),86.4500 
DUMPLCHICK,O' TASTY - DUMPLINGS (CHICKEN AND VEGETABLE) 12 X 567G,78.7500 
DUMPLPORKBI,BIBIGO MANDU PORK & VEGETABLES DUMPLING,150.1500 
EASYOFF,PHARAON - EASY OFF AEROSOL OVEN CLEANER (510GR),9.7500 
ECH-001,ÉCHANTILLON SAUMON FUMÉ (ARTISANAL) 40GRS,0.0000 
ECOF,ECO-FRIENDLY LOGISTIC FEE,2.0000 
EDAMAMEFROZ,FROZEN EDAMAME 6 X 2KG,45.9500 
EDAMAMEFROZUN,FROZEN EDAMAME 2KG BAG,7.7500 
EDAMAOFF,EDAMAME SKIN LESS *SHELLED* (20X400G),36.9500 
EDAMAON,EDAMAME SKIN ON *IN POD* (20X400G),38.0000 
EDULCOLO,SPLENDA - SWEETENER NO CALORIE PACKETS (1000UN),31.9500 
EGGCHINESE,CHINESE EGGPLANT (30LBS),72.4500 
EGGITALIAN,ITALIAN EGGPLANTS ,36.7000 
EGGNOODLE,FRESH EGG NOODLE (5 LBS),20.0000 
EGGO,EGGO - FROZEN WAFFLES (72 UNITS),23.0000 
EGGPLANT,EGGPLANT,34.0000 
EGGPLANTHALF,( HALF / DEMI ) EGGPLANTS / AUBERGINE,22.0000 
EGGSFRESHWH,EGGS WHITE /  4X500G,19.7500 
EGGSLAVL,LAVIOLETTE LARGE EGGS (15 DOZENS) CANADIAN,56.7000 
EGPPCS,PCS EGGPLANT,2.5000 
EMB451,LIDS FOR PORTION CUPS 1.5 / 2 / 2.5 OZ (2500UN),31.9500 
EMPA,EMPANADAS MAIZ CARNE (8X25UN),101.3000 
EMPT,EMPTY PALETTE TO PUT PRODUCTS ON IT TO MAKE THE DELIVERY,0.0500 
END,ENDIVES,57.4500 
ENDPCS,PCS ENDIVES,2.5000 
ENDRED,RED ENDIVES,52.9500 
ENGLMUFF,ENGLISH MUFFIN / 6 UNITS,5.9500 
ENOIKIPCS,1PACK ENOKI BIO MUSHROOM,4.5500 
ENOKIBIO,ORGANIC FRESH ENOKI MUSHROOM (22X150GR),99.4500 
ENTRP,ENTREPOSAGE PALETTE,41.9500 
EPICURIEN,EPICURIEN - TICK SLICED MULTI GRAIN LOAF 7/8 (8 X),58.9000 
ESC,ESCAROLE,40.4500 
EUROPA,EUROPA MEAT - STEAK SPENCER SUBMARINE / 5KG,121.8500 
EYER,FRESH BEEF EYE OR ROUND AAA (BY CASE),17.7500 
EZP2630,SHRIMP 26/30 EZPEEL 10LBS,61.9500 
FARGAT2.5KG,FARINE A GATEAU ET PATISSERIE 2.5KG - CAKE AND PASTRY FLOUR 2.5KG,13.0000 
FARINEBRODIE, BRODIE XXX - FLOUR (10 X 2.5KG),78.9000 
FARINPOIS907,CHICK PEA FLOUR / 10KG,39.7000 
FARPIZZA20KG,PIZZA FLOUR / 20KG,21.7500 
FAVABOX,FAVA BOX 4KG,62.2000 
FCC-001,FISH BONES,234.2500 
FCD-016,FILET DE MORUE SAUVAGE 4-6OZ-1X10- CAN,0.0000 
FENN,FENNEL,48.9000 
FENNHALF,HALF FENNEL,24.9500 
FENPCS,PCS FENNEL,2.2500 
FETA 3KG,SMALL FETA 3KG,31.9500 
FETA11KG,LARGE FETA 11KG,153.3500 
FETA200G,SAPUTO - FETA CHEESE / 200G,10.0000 
FETATRAD3,FROMAGE FETA TRADITONNEL 3KG,38.2000 
FETT,FETTUCCINE / 20LBS,29.9500 
FEVE24X398,BAKED PORK BEANS (24 X 398ML),66.9500 
FEVERGING,FEVERTREE - GINGER BEER (24X250ML),36.5000 
FEVERGRPGING,FEVERTREE - GRAPEFRUIT GINGER BEER (24X200ML),44.9500 
FEVERTONIC,FEVERTREE - TONIC (24X200ML),33.7500 
FEVL,BAKED PORK BEANS (6L),27.2500 
FHB-0204,PORTIONS FLETAN 2/4 oz - 1x10 LBS - CAN,169.7500 
FIDDHEAD,FRESH FIDDLE HEAD,72.2500 
FIGS,FIGS,14.5000 
FILETMIGNONAAA,WHOLE FILET MIGNON AAA / KG,52.9500 
FILO,(1811) FILO 7-DAYS MEDIUM,41.2500 
FILOALFA,(#111) ALFA MEDIUM PHYLLO PASTRY 12X450 GR,41.4500 
FIOR3KG,SANTA LUCIA - FIOR DI LATTE CHEESE (3KG),46.9500 
FIREFF,RR 9/32 CAVENDISH FRIES,31.1000 
FIRESWFF,(36812) CAVENDISH SWEET FRIES 3/8,50.9500 
FISHBALL,FISH BALL PACK,4.5000 
FISHBONE,FISH BONES (APPROX. 30LBS),20.5500 
FISHCHIP,FISH N CHIPS (10LB),83.4000 
FLAKEDTUNA,FLAKED LIGHT TUNA - PANTRY SHELF 1.88KG,18.5000 
FLOURPASTRLY20,PASTRY FLOUR 20KG / 20KG,26.9500 
FLOURRICE,WHITE RICE FLOUR (30X400G),39.9500 
FLOURTEMPBM,TEMPURA BATTER MIX FLOUR (40LBS),48.7000 
FLOURWW2.5,WHOLE WHEAT FLOUR (20KG),23.9500 
FLT-005F,HALIBUT - FRESH - (HEAD-OFF) - GUTTED - CW - USA,15.6000 
FLT-010,HALIBUT TRIM IQF (1 X 10 LBS) - CAN,43.4500 
FLT-011,HALIBIT PORTION (3X6.5LBS) CW QC,23.4500 
FOCOCOCO,FOCO - COCONUT DRINK 24X350ML,47.5000 
FOCOCOCOWATER,FOCO COCONUT WATER (12 X 1L),39.9000 
FOCOLYCHEE,FOCO - LYCHEE JUICE 24X350ML,45.4500 
FOCOMANGO,FOCO - MANGO NECTAR 24X350ML,36.9500 
FOCOROASTCOCO,FOCO - ROASTED COCONUT 24X350ML,36.7000 
FOLFOL,PALLET CHEESE FOR FOLFOL (BY DAMAS),174.8500 
FORKAGAV,AGAVE FORKS 17CM (1300UN),177.8500 
FORKPLAST,PLASTIC FORKS (1000UN),18.0000 
FOWLBREST,FOWL BREST / KG,7.5000 
FRANKCAYEN,FRANKS - REDHOT SAUCE PIMENT DE CAYENNE (4X3.78L),72.9000 
FRBROCDUS,FROZEN BROCCOLI DUST (6 X 2KG),36.9000 
FRDRESS,FRENCH DRESSING GALLON,18.4500 
FREEK,FREEKEY 24X454G,83.9000 
FRESHCHICKFING,FRESH CHICKEN FINGERS / KG,12.0000 
FRIEDGARL,FRIED GARLIC (24 X 454G),94.9000 
FRITESCAVENDUN,BAG CAVENDISH STRAIGHT CUT EXTRA CRISPY FRIES (4.25KG),17.5500 
FROCHERAP,CASTLE- SHREDDED YELLOW CHEDDAR CHEESE / 2 KG,23.4500 
FROMAGECOTT,FROMAGE COTTAGE 2KG,18.0000 
FROMRAP,FAKE SHREDDED YELLOW CHEESE / 4X2 KG (100% ANALOGUE),86.5000 
FROPORCNAGA,FROZEN NAGANO PORC TENDERLOIN PRICE PER (KG),5.0000 
FROSTRAWB,FROZEN STRAWBERRIES / 5 X 1KG,21.9500 
FROWHOLEGREEN,FROZEN WHOLE *GREEN* BEANS (1X7KG),23.7500 
FROWHOLEYELL,FROZEN WHOLE YELLOW BEANS (2X3.5KG),23.7500 
FROZAPPSLICEPCS,FROZEN SLICED APPLE (1KG),8.2500 
FROZASPA,FROZEN ASPARAGUS (4X1KG),37.0500 
FROZASPAPCS,FROZEN ASPARAGUS (1KG),8.6000 
FROZBABYCAR,FROZEN BABY CARROTS (4X2KG),26.4500 
FROZBAN,FROZEN BANANA SLICED / 5 X 1KG,23.0000 
FROZBANLEAF,BANANA LEAF FROZEN  20 X 454GR,44.9500 
FROZBANLEAFPCS,BANANA LEAF FROZEN 454GR,3.0000 
FROZBATCAR,FROZEN CARROT STICKS (6 X 2KG),26.9000 
FROZBLACKB,FROZEN BLACKBERRIES (5X1KG),33.6000 
FROZBLUEB,FROZEN BLUEBERRIES / 5 X 1KG,54.9500 
FROZBLUEBPCS,FROZEN BLUEBERRIES / 1KG,12.0000 
FROZBROBOX,FROZEN BROCCOLI FLORETS (6X2KG),43.8000 
FROZBROCFLORET,FROZEN BROCCOLI FLORETS (8X1KG),34.5500 
FROZBROCFLORPCS,FROZEN BROCOLI FLORETS (2KG),7.3000 
FROZBROCROMAN,FROZEN ROMANESCO (4X2.5KG),36.1000 
FROZBRUS,FROZEN BRUSSELS SPROUTS (6X2KG),37.0500 
FROZBRUSPCS,FROZEN BRUSSEL SPROUTS (2KG),6.7500 
FROZBSQ,FROZEN DICED BUTTERNUT SQUASH (6X2KG),44.4500 
FROZBUTTNUTPCS,FROZEN DICED BUTTERNUT SQUASH (2KG),8.5500 
FROZCAUL,FROZEN CAULIFLOWER FLORETS (6X2KG),38.7500 
FROZCAULMIX,FROZEN CALIFORNIA MIX (2KG),8.6000 
FROZCAULPCS,FROZEN CAULIFLOWER FLORETS (2KG),11.1000 
FROZCHER,FROZEN CHERRIES (5X1KG),44.0500 
FROZCHICKBR,TCF - FROZEN CHICKEN BREAST (4KG),58.7500 
FROZCHOPSPIN,FROZEN CHOPPED SPINACH (12X2LBS),30.7500 
FROZCORN,FROZEN CORN (6X2KG),41.1000 
FROZCORNPCS,FROZEN CORN (2KG),7.1000 
FROZCRAN,FROZEN CRANBERRIES (5X1KG),33.2000 
FROZCRANPCS,FROZEN CRANBERRIES (1KG),6.7500 
FROZCUTBEANS,FROZEN CUT *GREEN* BEANS (6X2KG),40.2500 
FROZCUTBEANSPCS,FROZEN CUT GREEN BEANS (2KG),8.4500 
FROZCUTWAX,FROZEN CUT YELLOW BEANS (6X2KG),36.5000 
FROZCUTWAXPCS,FROZEN YELLOW BEANS CUT (2KG),8.8000 
FROZDICCAR,FROZEN DICED CARROTS (6X2KG),26.5500 
FROZDICCARPCS,FROZEN DICED CARROTS (2KG),6.2500 
FROZDICECEL,FROZEN DICED CELERY (6X2KG),33.1000 
FROZDICECELPCS,FROZEN DICED CELERY (2KG),6.2500 
FROZDICEON,FROZEN DICED WHITE ONIONS (6X2KG),30.7500 
FROZDICEONPCS,FROZEN DICED ONIONS (2KG),6.7500 
FROZDRAG,FROZEN DRAGON FRUIT,79.2000 
FROZEDAM,FROZEN EDAMAME BEANS IN BULK (10KG),56.5000 
FROZEGGYOLK,FROZEN EGG YOLKS / 12 X 1KG,125.8500 
FROZFAJ,FROZEN FAJITA MIX VEG. (6X2KG),44.4500 
FROZFAJUN,FROZEN FAJITA MIX (2KG),8.9000 
FROZGALANPCS,WHOLE FROZEN GALANGAL (200G),4.2500 
FROZGALANSLC,FROZEN GALANGA SLICED / 200G,2.5000 
FROZINARITOFU,INARI FROZEN SMOKED TOFU (10X900G),85.9000 
FROZKIWI,FROZEN CHOPPED KIWI (5X1KG),30.7500 
FROZKIWIPCS,FROZEN KIWI SLICED (1KG),6.1000 
FROZLEEKS,FROZEN DICED LEEKS (6X2KG),46.2000 
FROZLEEKSPCS,FROZEN DICED LEEKS (2KG),7.1000 
FROZLEM,NATALIES - FROZEN *YELLOW LEMON* JUICE (6X1KG),48.9500 
FROZLEMGRASS,FROZEN LEMONGRASS STICKS (454G),3.5000 
FROZLEMGRASSSLC,FROZEN LEMONGRASS SLICED (50X227G),76.2000 
FROZLIME,NATALIES - FROZEN LIME JUICE (6X1KG),48.9500 
FROZLIMELEAF,FROZEN LIME LEAF (100G),3.8000 
FROZMANGH,MANGO HALFS FROZEN (10X1KG),55.7000 
FROZMANGO,FROZEN MANGO / 5X1KG,26.9500 
FROZMANGOPCS,FROZEN MANGO CHUNKS / 1KG,7.2500 
FROZMIXFRBRUN,FROZEN MIX FRUIT BRUNOISE (5X1KG),37.0500 
FROZMIXFRUIT,FROZEN MIX FRUIT BRUNOISE (4X2.5KG),87.0000 
FROZMP,FROZEN MIREPOIS (6X2KG),39.8000 
FROZMPPCS,FROZEN MIREPOIS MIX (2KG),6.6500 
FROZMUSH,FROZEN SLICED MUSHROOM (6X2KG),47.9500 
FROZOS,FROZEN BONE MARROW (SUR LA LONGUEUR) PRICE (KG),5.7500 
FROZPEA&CARPCS,FROZEN PEAS AND CARROTS (2KG),8.2500 
FROZPEA&CARR,FROZEN PEAS AND CARROTS (6X2KG),35.5500 
FROZPEACH,FROZEN SLICED PEACHES (5X1KG),37.0500 
FROZPEACHPCS,FROZEN PEACH CHUNKS (1KG),9.5500 
FROZPEARLON,FROZEN PEARL ONIONS,28.9500 
FROZPEAS,FROZEN GREEN PEAS (6X1.75KG),38.2000 
FROZPEASPCS,FROZEN GREEN PEAS (2KG),7.6500 
FROZPINEAPP,FROZEN PINEAPPLES CHUNKS (5X1KG),33.5500 
FROZPINEPCS,FROZEN PINEAPPLE CHUNKS (1KG),8.8000 
FROZPORC,FROZEN SLICED PORCINI MUSH. (1KG),37.0500 
FROZPOTCUB,FROZEN RAW DICED POTATO (4X2KG),27.5000 
FROZPOTCUBPCS,FROZEN RAW DICED POTATO (2KG),10.7000 
FROZRAPINI,FROZEN RAPINI (5 X 1KG),24.9500 
FROZRASPB,FROZEN RASPBERRIES (5X1KG),55.9000 
FROZRASPPCS,FROZEN RASPBERRY (1KG),11.5000 
FROZRHUB,FROZEN RHUBARB,41.2500 
FROZRHUBPCS,FROZEN RHUBARBE (1KG),7.1000 
FROZSLICSPINPCS,FROZEN CHOPPED SPINACH (2LBS),9.5500 
FROZSTRAWPCS,FROZEN WHOLE STRAWBERRIES (1KG),4.4500 
FROZTHAIRED,FROZEN RED THAI CHILI (500G),5.1000 
FROZTURNPCS,FROZEN DICED TURNIPS (2KG),7.5500 
FROZYAMS,FROZEN DICED SWEET YAMS POTATO (6X2KG),80.0000 
FROZYAMSUN,FROZEN DICED SWEET YAMS POTATO (2KG),15.3000 
FRSHDICGARL,FRESH DICED GARLIC (5 KG),29.9500 
FRSLCAR,FROZEN SLICED CARROTS (6X2KG),30.9500 
FRSLCARPCS,FROZEN SLICED CARROTS (2KG),6.7500 
FRYGAR,FRIED GARLIC / 450G,4.7500 
FRYONI,FRIED ONIONS (15X400G),86.9000 
FRYONIPCS,FRIED CRISPY ONIONS (400G),7.0000 
FRYTEMPURA6,FRIED TEMPURA READY TO EAT (6KG),75.9000 
FRYTOFU,454G FRIED TOFU,5.6500 
FRZMUSH,FROZEN SLICED MUSHROOMS REGULAR 10KG,43.7000 
FTSAL,FRUIT SALAD / SALADE DE FRUITS / 12 LITERS,31.5000 
FULLPURE,FULL RED - EXTRA HEAVY TOMATO PUREE / 6 X 2.84L ,44.9500 
FULLTOMSAUCE,STANISLAUS- FULL-RED CALIFORNIA TOMATO SAUCE / 6 X 2.84L,54.5000 
FUNGBB,BLACK BABY FUNGUS 454G (16OZX30),387.6000 
FUNSNO,WHITE DRIED SNOW FUNGUS (PACK),7.0000 
FUSILITRICO,TRICOLOUR FUSILLI 2.27KG,13.0000 
FUSILLI,PASTA FUSILLI (9.07 KG),39.9500 
FUZEC,FUZE ICED TEA / 32 X 341ML (ECOFEE 0.64 INCLUDED),21.6000 
FVEGJUICE,VEGETABLE JUICE  - FAIRLEE - 1.89L,5.9500 
FVEGJUICEBOX,VEGETABLE JUICE  - FAIRLEE - 6 X 1.89L,29.9500 
FZBOILEDCORN,FROZEN BOILED CORN SECTIONS 30LBS,21.9500 
FZWHLMANG,GOLDEN SEA- FROZEN MANGO HALVES (10 X 1KG),55.7000 
GALSLIBOX,FROZEN GALANGA SLICED FULL BOX / 50 X 200G,88.9000 
GARBLKBIO,AIL NOIR BIO 6X60GR BOX,45.9000 
GARBXMAYO,BOX MAYO 4X4L,58.3500 
GARCOL,GARLIC COLOSSAL  (30LBS),94.4500 
GARDMAYO,GARDEN MAYO 15L,67.9000 
GARFLBS,LBS GARLIC FRESH,2.6500 
GARFRESH,GARLIC (10KG),38.7000 
GARGRAN,GRANULATED GARLIC (2.5KG),20.9500 
GAR'N'OIL,GARLIC IN OIL 8KG,47.5500 
GARPEEL,BOX PEELED GARLIC (6X3LBS),78.0000 
GARPEELPCS,3LB (JAR) PEELED GARLIC,14.7000 
GARPEELPCS5,5LBS (JAR) PEELED GARLIC,18.0000 
GARPEPROAST,CLUB HOUSE - ROASTED GARLIC AND PEPPERS (660G),25.0000 
GARSPREAD,PARKAY GARLIC SPREAD (4.5KG),33.9500 
GATSPA,GATTUSO - SPAGHETTI SAUCE / 6 X 2.84L,71.0500 
GATUSOPIZZA,GATTUSO - PIZZA SAUCE / 6 X 2.84L,84.2000 
GEMBIG,BIG BOX GEM LETTUCE,58.9000 
GEMSMALL,GEM LETTUCE SMALL BOX,64.2000 
GGERAMENOR,GGE WHEAT CRACKER - ORIGINAL RAMEN 15X80G,33.0000 
GIGIFF,7/16 QUALIFRESH,33.9500 
GIN-001,PINK MARINATED GINGER SUSHI (1X25LBS) CHINE,42.5000 
