Damen Service Alimentaire (Division Ferro Poisson),,
Price Lists,,
,,
Item No.,Description,Regular CAD
BAVETAAA,BAVETTE STEAK AAA (KG),32.5000 
BAYLEAVES,BAY LEAVES (250G),12.0000 
BB1L,PICKLES IN JAR/ BREAD AND BUTTER (12X1L),49.9500 
BBCERISE,BULLE BLEUE CERISE 4X3.1KG,87.9500 
BBEGGPLANT,BABY EGGPLANT 100G,12.7500 
BBFRAMBOISE,BULLE BLEUE - FRAMBOISE BLEUE 4 X 3.1KG,87.9500 
BBLIME,BULLE BLEUE LIME 4X3.1KG,87.9500 
BBLKIWI,BULLE BLEU KIWI 4X3.1KG,87.9500 
BBLMELOND,BULLE BLEU MELON-D'EAU 4X3.1 KG,87.9500 
BBLVANIL,BULLE BLEU VANILLE 4X3.1 KG,87.9500 
BBMANGO,BULLE BLEUE MANGUE 4X3.1KG BOX,87.9500 
BBQBR,QUALIFRESH CUBES,34.5000 
BBQFF,RED 7/16 QUALIFRESH FRIES,34.5000 
BBQKRAFT3.78,KRAFT - BBQ SAUCE (2 X 3.78L),52.9000 
BBQSAUC18,ROSE HILL - BBQ SAUCE (18KG),139.8500 
BBSTRAW,BULLE BLEUE FRAISE 4X3.1KG BOX,87.9500 
BCHUCK,BEEF SHOULDER (KG),15.9500 
BCK-014,BLACK COD - 8 OZ - SKIN ON - IVP - (1 X 10 LBS) - USA - SINBAD,197.8500 
BEACHMUSH,HONEY BEACH MUSHROOMS SHIMEJI WHITE,63.4500 
BEACHMUSHBROWN,HONEY BEACH MUSHROOMS SHIMEJI BROWN,57.7000 
BEANSFAVA,FAVA BEANS BOX,55.9500 
BEANSLONG,PCS BUNCH LONG BEANS,6.5000 
BEANSRED,RED BEANS BAG / 10KG ,29.7500 
BEANTHRDLONGKOU,LONGKOU BEAN THREAD VERMICELLE  50X500G (LIQUIDATION),69.9500 
BEEF20,TOTAL BEEF- SHORTENING FOR FRYING / 20 KG,76.4000 
BEEFBONE,BEEF BONES (KG),4.2500 
BEEFCUBE,BEEF CUBES - KG,20.0000 
